 #Time, [s], Average Radius [nm], Total precipitate density [/micron^3], Volume fraction [], Critical radius [nm], Nucleation rate [/micron^3/s], Concentration in the matrix [at %]
                                0.000000                             2497.067721                            0.170057E-02                            0.125000E+00****************************************                            0.000000E+00                            0.674857E-01                            0.000000E+00
                                0.001000                             2497.067334                            0.170057E-02                            0.125000E+00                           -0.108179E+00                            0.246190E+13                            0.674857E-01                            0.000000E+00
                                5.134412                             2495.085411                            0.170057E-02                            0.124747E+00                           -0.108538E+00                            0.246500E+13                            0.675385E-01                            0.000000E+00
                               10.068576                             2493.184397                            0.170057E-02                            0.124505E+00                           -0.108898E+00                            0.246808E+13                            0.675889E-01                            0.000000E+00
                               15.017165                             2491.281733                            0.170057E-02                            0.124263E+00                           -0.109259E+00                            0.247116E+13                            0.676394E-01                            0.000000E+00
                               20.196358                             2489.294581                            0.170057E-02                            0.124010E+00                           -0.109639E+00                            0.247437E+13                            0.676919E-01                            0.000000E+00
                               25.174624                             2487.388531                            0.170057E-02                            0.123769E+00                           -0.110004E+00                            0.247743E+13                            0.677422E-01                            0.000000E+00
                               30.167514                             2485.480816                            0.170057E-02                            0.123527E+00                           -0.110370E+00                            0.248049E+13                            0.677924E-01                            0.000000E+00
                               35.175092                             2483.571431                            0.170057E-02                            0.123286E+00                           -0.110739E+00                            0.248353E+13                            0.678425E-01                            0.000000E+00
                               40.197426                             2481.660370                            0.170057E-02                            0.123045E+00                           -0.111109E+00                            0.248657E+13                            0.678926E-01                            0.000000E+00
                               45.015268                             2479.830827                            0.170057E-02                            0.122815E+00                           -0.111465E+00                            0.248946E+13                            0.679404E-01                            0.000000E+00
                               50.066666                             2477.916473                            0.170057E-02                            0.122574E+00                           -0.111838E+00                            0.249248E+13                            0.679903E-01                            0.000000E+00
                               55.133020                             2476.000429                            0.170057E-02                            0.122334E+00                           -0.112213E+00                            0.249549E+13                            0.680402E-01                            0.000000E+00
                               60.214398                             2474.082688                            0.170057E-02                            0.122093E+00                           -0.112590E+00                            0.249849E+13                            0.680900E-01                            0.000000E+00
                               65.088968                             2472.246736                            0.170057E-02                            0.121864E+00                           -0.112952E+00                            0.250135E+13                            0.681376E-01                            0.000000E+00
                               70.199940                             2470.325662                            0.170057E-02                            0.121624E+00                           -0.113333E+00                            0.250433E+13                            0.681872E-01                            0.000000E+00
                               75.102944                             2468.486511                            0.170057E-02                            0.121395E+00                           -0.113698E+00                            0.250717E+13                            0.682347E-01                            0.000000E+00
                               80.019942                             2466.645789                            0.170057E-02                            0.121166E+00                           -0.114065E+00                            0.251001E+13                            0.682820E-01                            0.000000E+00
                               85.175470                             2464.719713                            0.170057E-02                            0.120926E+00                           -0.114451E+00                            0.251296E+13                            0.683315E-01                            0.000000E+00
                               90.121286                             2462.875763                            0.170057E-02                            0.120697E+00                           -0.114821E+00                            0.251578E+13                            0.683788E-01                            0.000000E+00
                               95.081286                             2461.030227                            0.170057E-02                            0.120469E+00                           -0.115193E+00                            0.251858E+13                            0.684260E-01                            0.000000E+00
                              100.055532                             2459.183100                            0.170057E-02                            0.120241E+00                           -0.115567E+00                            0.252138E+13                            0.684731E-01                            0.000000E+00
                              105.044088                             2457.334378                            0.170057E-02                            0.120012E+00                           -0.115942E+00                            0.252417E+13                            0.685202E-01                            0.000000E+00
                              110.047018                             2455.484056                            0.170057E-02                            0.119784E+00                           -0.116319E+00                            0.252695E+13                            0.685672E-01                            0.000000E+00
                              115.064385                             2453.632129                            0.170057E-02                            0.119557E+00                           -0.116698E+00                            0.252972E+13                            0.686141E-01                            0.000000E+00
                              120.096254                             2451.778591                            0.170057E-02                            0.119329E+00                           -0.117079E+00                            0.253248E+13                            0.686610E-01                            0.000000E+00
                              125.142691                             2449.923438                            0.170057E-02                            0.119101E+00                           -0.117461E+00                            0.253524E+13                            0.687078E-01                            0.000000E+00
                              130.203761                             2448.066664                            0.170057E-02                            0.118874E+00                           -0.117845E+00                            0.253798E+13                            0.687546E-01                            0.000000E+00
                              135.048492                             2446.292773                            0.170057E-02                            0.118657E+00                           -0.118213E+00                            0.254059E+13                            0.687992E-01                            0.000000E+00
                              140.138352                             2444.432818                            0.170057E-02                            0.118430E+00                           -0.118601E+00                            0.254331E+13                            0.688458E-01                            0.000000E+00
                              145.010686                             2442.655881                            0.170057E-02                            0.118214E+00                           -0.118972E+00                            0.254590E+13                            0.688903E-01                            0.000000E+00
                              150.129590                             2440.792724                            0.170057E-02                            0.117987E+00                           -0.119363E+00                            0.254861E+13                            0.689368E-01                            0.000000E+00
                              155.029771                             2439.012721                            0.170057E-02                            0.117771E+00                           -0.119738E+00                            0.255118E+13                            0.689812E-01                            0.000000E+00
                              160.177978                             2437.146343                            0.170057E-02                            0.117545E+00                           -0.120133E+00                            0.255387E+13                            0.690276E-01                            0.000000E+00
                              165.106253                             2435.363255                            0.170057E-02                            0.117329E+00                           -0.120511E+00                            0.255642E+13                            0.690718E-01                            0.000000E+00
                              170.048340                             2433.578654                            0.170057E-02                            0.117114E+00                           -0.120891E+00                            0.255897E+13                            0.691160E-01                            0.000000E+00
                              175.004299                             2431.792535                            0.170057E-02                            0.116898E+00                           -0.121272E+00                            0.256151E+13                            0.691601E-01                            0.000000E+00
                              180.211200                             2429.919729                            0.170057E-02                            0.116673E+00                           -0.121674E+00                            0.256416E+13                            0.692063E-01                            0.000000E+00
                              185.195751                             2428.130487                            0.170057E-02                            0.116458E+00                           -0.122059E+00                            0.256667E+13                            0.692503E-01                            0.000000E+00
                              190.194360                             2426.339712                            0.170057E-02                            0.116243E+00                           -0.122445E+00                            0.256918E+13                            0.692943E-01                            0.000000E+00
                              195.207087                             2424.547399                            0.170057E-02                            0.116028E+00                           -0.122834E+00                            0.257168E+13                            0.693382E-01                            0.000000E+00
                              200.233995                             2422.753545                            0.170057E-02                            0.115813E+00                           -0.123224E+00                            0.257417E+13                            0.693820E-01                            0.000000E+00
                              205.034767                             2421.043674                            0.170057E-02                            0.115609E+00                           -0.123597E+00                            0.257653E+13                            0.694237E-01                            0.000000E+00
                              210.089542                             2419.246794                            0.170057E-02                            0.115395E+00                           -0.123991E+00                            0.257900E+13                            0.694675E-01                            0.000000E+00
                              215.158683                             2417.448359                            0.170057E-02                            0.115181E+00                           -0.124386E+00                            0.258146E+13                            0.695112E-01                            0.000000E+00
                              219.999850                             2415.734111                            0.170057E-02                            0.114977E+00                           -0.124764E+00                            0.258380E+13                            0.695527E-01                            0.000000E+00
                              225.097223                             2413.932621                            0.170057E-02                            0.114763E+00                           -0.125163E+00                            0.258624E+13                            0.695963E-01                            0.000000E+00
                              230.209151                             2412.129561                            0.170057E-02                            0.114550E+00                           -0.125564E+00                            0.258867E+13                            0.696398E-01                            0.000000E+00
                              235.091244                             2410.410895                            0.170057E-02                            0.114346E+00                           -0.125947E+00                            0.259098E+13                            0.696812E-01                            0.000000E+00
                              240.231776                             2408.604752                            0.170057E-02                            0.114133E+00                           -0.126351E+00                            0.259339E+13                            0.697246E-01                            0.000000E+00
                              245.141230                             2406.883141                            0.170057E-02                            0.113930E+00                           -0.126738E+00                            0.259567E+13                            0.697659E-01                            0.000000E+00
                              250.064118                             2405.160087                            0.170057E-02                            0.113727E+00                           -0.127126E+00                            0.259795E+13                            0.698072E-01                            0.000000E+00
                              255.000496                             2403.435585                            0.170057E-02                            0.113525E+00                           -0.127516E+00                            0.260022E+13                            0.698484E-01                            0.000000E+00
                              260.198276                             2401.623295                            0.170057E-02                            0.113312E+00                           -0.127927E+00                            0.260259E+13                            0.698916E-01                            0.000000E+00
                              265.162490                             2399.895811                            0.170057E-02                            0.113110E+00                           -0.128321E+00                            0.260484E+13                            0.699327E-01                            0.000000E+00
                              270.140373                             2398.166866                            0.170057E-02                            0.112907E+00                           -0.128716E+00                            0.260708E+13                            0.699737E-01                            0.000000E+00
                              275.131981                             2396.436454                            0.170057E-02                            0.112705E+00                           -0.129113E+00                            0.260931E+13                            0.700147E-01                            0.000000E+00
                              280.137376                             2394.704571                            0.170057E-02                            0.112503E+00                           -0.129511E+00                            0.261153E+13                            0.700557E-01                            0.000000E+00
                              285.156615                             2392.971213                            0.170057E-02                            0.112302E+00                           -0.129911E+00                            0.261374E+13                            0.700965E-01                            0.000000E+00
                              290.189759                             2391.236375                            0.170057E-02                            0.112100E+00                           -0.130314E+00                            0.261594E+13                            0.701374E-01                            0.000000E+00
                              295.236868                             2389.500052                            0.170057E-02                            0.111899E+00                           -0.130717E+00                            0.261813E+13                            0.701782E-01                            0.000000E+00
                              300.044611                             2387.849165                            0.170057E-02                            0.111707E+00                           -0.131103E+00                            0.262020E+13                            0.702169E-01                            0.000000E+00
                              305.119127                             2386.109932                            0.170057E-02                            0.111506E+00                           -0.131510E+00                            0.262237E+13                            0.702576E-01                            0.000000E+00
                              310.207786                             2384.369201                            0.170057E-02                            0.111305E+00                           -0.131919E+00                            0.262453E+13                            0.702982E-01                            0.000000E+00
                              315.055171                             2382.714113                            0.170057E-02                            0.111115E+00                           -0.132310E+00                            0.262658E+13                            0.703368E-01                            0.000000E+00
                              320.171591                             2380.970444                            0.170057E-02                            0.110914E+00                           -0.132722E+00                            0.262872E+13                            0.703774E-01                            0.000000E+00
                              325.045460                             2379.312557                            0.170057E-02                            0.110723E+00                           -0.133116E+00                            0.263074E+13                            0.704158E-01                            0.000000E+00
                              330.189877                             2377.565932                            0.170057E-02                            0.110523E+00                           -0.133532E+00                            0.263286E+13                            0.704563E-01                            0.000000E+00
                              335.090457                             2375.905228                            0.170057E-02                            0.110333E+00                           -0.133930E+00                            0.263486E+13                            0.704947E-01                            0.000000E+00
                              340.004133                             2374.243145                            0.170057E-02                            0.110143E+00                           -0.134328E+00                            0.263686E+13                            0.705330E-01                            0.000000E+00
                              345.190633                             2372.492089                            0.170057E-02                            0.109943E+00                           -0.134750E+00                            0.263895E+13                            0.705733E-01                            0.000000E+00
                              350.131363                             2370.827162                            0.170057E-02                            0.109753E+00                           -0.135152E+00                            0.264092E+13                            0.706116E-01                            0.000000E+00
                              355.085357                             2369.160843                            0.170057E-02                            0.109563E+00                           -0.135557E+00                            0.264289E+13                            0.706498E-01                            0.000000E+00
                              360.052672                             2367.493127                            0.170057E-02                            0.109374E+00                           -0.135962E+00                            0.264484E+13                            0.706880E-01                            0.000000E+00
                              365.033363                             2365.824010                            0.170057E-02                            0.109184E+00                           -0.136370E+00                            0.264678E+13                            0.707261E-01                            0.000000E+00
                              370.027487                             2364.153488                            0.170057E-02                            0.108995E+00                           -0.136779E+00                            0.264872E+13                            0.707641E-01                            0.000000E+00
                              375.035100                             2362.481556                            0.170057E-02                            0.108806E+00                           -0.137190E+00                            0.265064E+13                            0.708022E-01                            0.000000E+00
                              380.056261                             2360.808210                            0.170057E-02                            0.108617E+00                           -0.137603E+00                            0.265256E+13                            0.708402E-01                            0.000000E+00
                              385.091026                             2359.133444                            0.170057E-02                            0.108428E+00                           -0.138018E+00                            0.265446E+13                            0.708781E-01                            0.000000E+00
                              390.139454                             2357.457256                            0.170057E-02                            0.108240E+00                           -0.138434E+00                            0.265635E+13                            0.709160E-01                            0.000000E+00
                              395.201601                             2355.779639                            0.170057E-02                            0.108051E+00                           -0.138852E+00                            0.265824E+13                            0.709538E-01                            0.000000E+00
                              400.010030                             2354.188997                            0.170057E-02                            0.107873E+00                           -0.139250E+00                            0.266001E+13                            0.709897E-01                            0.000000E+00
                              405.099065                             2352.508587                            0.170057E-02                            0.107685E+00                           -0.139672E+00                            0.266187E+13                            0.710274E-01                            0.000000E+00
                              410.201993                             2350.826735                            0.170057E-02                            0.107496E+00                           -0.140095E+00                            0.266372E+13                            0.710651E-01                            0.000000E+00
                              415.049218                             2349.232068                            0.170057E-02                            0.107318E+00                           -0.140498E+00                            0.266547E+13                            0.711008E-01                            0.000000E+00
                              420.179375                             2347.547396                            0.170057E-02                            0.107131E+00                           -0.140926E+00                            0.266730E+13                            0.711385E-01                            0.000000E+00
                              425.052502                             2345.950049                            0.170057E-02                            0.106953E+00                           -0.141332E+00                            0.266902E+13                            0.711741E-01                            0.000000E+00
                              430.210116                             2344.262540                            0.170057E-02                            0.106765E+00                           -0.141763E+00                            0.267083E+13                            0.712116E-01                            0.000000E+00
                              435.109364                             2342.662496                            0.170057E-02                            0.106588E+00                           -0.142173E+00                            0.267254E+13                            0.712471E-01                            0.000000E+00
                              440.021399                             2341.061135                            0.170057E-02                            0.106410E+00                           -0.142584E+00                            0.267423E+13                            0.712826E-01                            0.000000E+00
                              445.220256                             2339.369375                            0.170057E-02                            0.106223E+00                           -0.143021E+00                            0.267601E+13                            0.713201E-01                            0.000000E+00
                              450.158741                             2337.765292                            0.170057E-02                            0.106046E+00                           -0.143436E+00                            0.267768E+13                            0.713555E-01                            0.000000E+00
                              455.110175                             2336.159879                            0.170057E-02                            0.105869E+00                           -0.143853E+00                            0.267934E+13                            0.713908E-01                            0.000000E+00
                              460.074611                             2334.553132                            0.170057E-02                            0.105692E+00                           -0.144272E+00                            0.268099E+13                            0.714262E-01                            0.000000E+00
                              465.052102                             2332.945047                            0.170057E-02                            0.105515E+00                           -0.144692E+00                            0.268263E+13                            0.714614E-01                            0.000000E+00
                              470.042703                             2331.335620                            0.170057E-02                            0.105339E+00                           -0.145114E+00                            0.268427E+13                            0.714967E-01                            0.000000E+00
                              475.046468                             2329.724847                            0.170057E-02                            0.105162E+00                           -0.145538E+00                            0.268589E+13                            0.715319E-01                            0.000000E+00
                              480.063452                             2328.112725                            0.170057E-02                            0.104986E+00                           -0.145964E+00                            0.268750E+13                            0.715671E-01                            0.000000E+00
                              485.093710                             2326.499249                            0.170057E-02                            0.104810E+00                           -0.146391E+00                            0.268909E+13                            0.716022E-01                            0.000000E+00
                              490.137297                             2324.884415                            0.170057E-02                            0.104633E+00                           -0.146821E+00                            0.269068E+13                            0.716373E-01                            0.000000E+00
                              495.194269                             2323.268219                            0.170057E-02                            0.104457E+00                           -0.147252E+00                            0.269226E+13                            0.716723E-01                            0.000000E+00
