 #Time, [s], Average Radius [nm], Total precipitate density [/micron^3], Volume fraction [], Critical radius [nm], Nucleation rate [/micron^3/s], Concentration in the matrix [at %]
                                0.000000                             1257.499822                            0.133040E-01                            0.125000E+00****************************************                            0.000000E+00                            0.674857E-01                            0.000000E+00
                                0.001000                             1257.499269                            0.133040E-01                            0.125000E+00                           -0.863462E-01                            0.135339E+13                            0.674857E-01                            0.000000E+00
                                5.145917                             1254.663207                            0.133040E-01                            0.124285E+00                           -0.869975E-01                            0.135864E+13                            0.676348E-01                            0.000000E+00
                               10.099546                             1251.943548                            0.133040E-01                            0.123602E+00                           -0.876546E-01                            0.136387E+13                            0.677768E-01                            0.000000E+00
                               15.085212                             1249.217045                            0.133040E-01                            0.122921E+00                           -0.883178E-01                            0.136909E+13                            0.679183E-01                            0.000000E+00
                               20.103209                             1246.483634                            0.133040E-01                            0.122242E+00                           -0.889871E-01                            0.137428E+13                            0.680593E-01                            0.000000E+00
                               25.153833                             1243.743253                            0.133040E-01                            0.121564E+00                           -0.896626E-01                            0.137944E+13                            0.681997E-01                            0.000000E+00
                               30.005595                             1241.120871                            0.133040E-01                            0.120918E+00                           -0.903133E-01                            0.138435E+13                            0.683332E-01                            0.000000E+00
                               35.120859                             1238.366676                            0.133040E-01                            0.120243E+00                           -0.910011E-01                            0.138947E+13                            0.684726E-01                            0.000000E+00
                               40.034880                             1235.730986                            0.133040E-01                            0.119600E+00                           -0.916637E-01                            0.139434E+13                            0.686051E-01                            0.000000E+00
                               45.215959                             1232.962719                            0.133040E-01                            0.118928E+00                           -0.923642E-01                            0.139942E+13                            0.687434E-01                            0.000000E+00
                               50.193373                             1230.313471                            0.133040E-01                            0.118289E+00                           -0.930390E-01                            0.140424E+13                            0.688750E-01                            0.000000E+00
                               55.202167                             1227.657508                            0.133040E-01                            0.117650E+00                           -0.937200E-01                            0.140904E+13                            0.690060E-01                            0.000000E+00
                               60.001877                             1225.121718                            0.133040E-01                            0.117043E+00                           -0.943742E-01                            0.141359E+13                            0.691304E-01                            0.000000E+00
                               65.072748                             1222.452459                            0.133040E-01                            0.116408E+00                           -0.950672E-01                            0.141834E+13                            0.692605E-01                            0.000000E+00
                               70.175836                             1219.776294                            0.133040E-01                            0.115774E+00                           -0.957665E-01                            0.142308E+13                            0.693901E-01                            0.000000E+00
                               75.066138                             1217.221082                            0.133040E-01                            0.115171E+00                           -0.964384E-01                            0.142756E+13                            0.695132E-01                            0.000000E+00
                               80.232967                             1214.531237                            0.133040E-01                            0.114540E+00                           -0.971503E-01                            0.143225E+13                            0.696418E-01                            0.000000E+00
                               85.184511                             1211.962871                            0.133040E-01                            0.113940E+00                           -0.978343E-01                            0.143669E+13                            0.697640E-01                            0.000000E+00
                               90.166323                             1209.387995                            0.133040E-01                            0.113341E+00                           -0.985244E-01                            0.144111E+13                            0.698856E-01                            0.000000E+00
                               95.178667                             1206.806545                            0.133040E-01                            0.112744E+00                           -0.992205E-01                            0.144550E+13                            0.700069E-01                            0.000000E+00
                              100.221808                             1204.218457                            0.133040E-01                            0.112148E+00                           -0.999227E-01                            0.144987E+13                            0.701277E-01                            0.000000E+00
                              105.041563                             1201.753565                            0.133040E-01                            0.111583E+00                           -0.100596E+00                            0.145400E+13                            0.702421E-01                            0.000000E+00
                              110.145534                             1199.152343                            0.133040E-01                            0.110990E+00                           -0.101310E+00                            0.145833E+13                            0.703621E-01                            0.000000E+00
                              115.023572                             1196.674852                            0.133040E-01                            0.110427E+00                           -0.101995E+00                            0.146242E+13                            0.704757E-01                            0.000000E+00
                              120.189420                             1194.060237                            0.133040E-01                            0.109836E+00                           -0.102722E+00                            0.146670E+13                            0.705948E-01                            0.000000E+00
                              125.126745                             1191.569896                            0.133040E-01                            0.109276E+00                           -0.103418E+00                            0.147074E+13                            0.707076E-01                            0.000000E+00
                              130.093325                             1189.073202                            0.133040E-01                            0.108718E+00                           -0.104121E+00                            0.147476E+13                            0.708200E-01                            0.000000E+00
                              135.089406                             1186.570093                            0.133040E-01                            0.108160E+00                           -0.104830E+00                            0.147876E+13                            0.709320E-01                            0.000000E+00
                              140.115238                             1184.060507                            0.133040E-01                            0.107604E+00                           -0.105544E+00                            0.148273E+13                            0.710436E-01                            0.000000E+00
                              145.171071                             1181.544380                            0.133040E-01                            0.107049E+00                           -0.106265E+00                            0.148668E+13                            0.711549E-01                            0.000000E+00
                              150.257163                             1179.021650                            0.133040E-01                            0.106495E+00                           -0.106992E+00                            0.149061E+13                            0.712657E-01                            0.000000E+00
                              155.103709                             1176.625547                            0.133040E-01                            0.105971E+00                           -0.107687E+00                            0.149431E+13                            0.713704E-01                            0.000000E+00
                              160.249466                             1174.089777                            0.133040E-01                            0.105420E+00                           -0.108426E+00                            0.149819E+13                            0.714805E-01                            0.000000E+00
                              165.153008                             1171.681209                            0.133040E-01                            0.104899E+00                           -0.109133E+00                            0.150184E+13                            0.715845E-01                            0.000000E+00
                              170.084622                             1169.266497                            0.133040E-01                            0.104378E+00                           -0.109845E+00                            0.150547E+13                            0.716881E-01                            0.000000E+00
                              175.044537                             1166.845590                            0.133040E-01                            0.103859E+00                           -0.110563E+00                            0.150908E+13                            0.717914E-01                            0.000000E+00
                              180.032984                             1164.418441                            0.133040E-01                            0.103341E+00                           -0.111287E+00                            0.151267E+13                            0.718943E-01                            0.000000E+00
                              185.050198                             1161.985000                            0.133040E-01                            0.102825E+00                           -0.112018E+00                            0.151623E+13                            0.719969E-01                            0.000000E+00
                              190.096414                             1159.545223                            0.133040E-01                            0.102309E+00                           -0.112754E+00                            0.151977E+13                            0.720991E-01                            0.000000E+00
                              195.171872                             1157.099068                            0.133040E-01                            0.101795E+00                           -0.113496E+00                            0.152328E+13                            0.722010E-01                            0.000000E+00
                              200.276812                             1154.646494                            0.133040E-01                            0.101281E+00                           -0.114245E+00                            0.152677E+13                            0.723026E-01                            0.000000E+00
                              205.125435                             1152.324250                            0.133040E-01                            0.100797E+00                           -0.114958E+00                            0.153004E+13                            0.723982E-01                            0.000000E+00
                              210.000782                             1149.996222                            0.133039E-01                            0.100314E+00                           -0.115677E+00                            0.153330E+13                            0.724935E-01                            0.000000E+00
                              215.192275                             1147.524921                            0.133039E-01                            0.998044E-01                           -0.116444E+00                            0.153671E+13                            0.725941E-01                            0.000000E+00
                              220.123303                             1145.184915                            0.133039E-01                            0.993237E-01                           -0.117175E+00                            0.153992E+13                            0.726888E-01                            0.000000E+00
                              225.081704                             1142.839068                            0.133038E-01                            0.988440E-01                           -0.117911E+00                            0.154310E+13                            0.727832E-01                            0.000000E+00
