 # Time [s], c_{ex}/c_{th}, total number of produced vacancies/c_{th}, total number of annihilated vacancies /c_{th}
                            0.000000E+00                                     NaN                                Infinity                                Infinity
                            0.100000E-02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.530781E+01                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.101574E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.150313E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.204211E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.253470E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.302979E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.352741E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.402757E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.453030E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.503562E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.554355E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.600294E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.651590E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.703153E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.754986E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.801869E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.854222E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.901577E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.954458E+02                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.100229E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.105036E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.110403E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.115259E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.120138E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.125041E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.130516E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.135470E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.140448E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.145451E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.150478E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.155531E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.160043E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.165143E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.170268E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.175420E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.180021E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.185222E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.190449E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.195118E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.200396E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.205110E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.210439E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.215199E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.220580E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.225387E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.230217E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.235068E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.240554E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.245454E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.250377E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.255323E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.260292E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.265286E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.270303E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.275343E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.280408E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.285498E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.290612E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.295107E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.300267E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.305453E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.310011E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.315244E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.320503E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.325126E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.330434E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.335099E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.340457E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.345166E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.350574E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.355328E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.360103E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
                            0.365586E+03                            0.000000E+00                            0.000000E+00                            0.000000E+00
