 #Time, [s], Average Radius [nm], Total precipitate density [/micron^3], Volume fraction [], Critical radius [nm], Nucleation rate [/micron^3/s], Concentration in the matrix [at %]
                                0.000000                                0.913658                            0.273478E+05                            0.995154E-04****************************************                            0.000000E+00                            0.646816E-01                            0.000000E+00
                                0.000063                                0.820970                            0.273478E+05                            0.756777E-04                            0.167097E+01                            0.121668E-12                            0.646860E-01                            0.000000E+00
                                0.099001                                0.700000                            0.273478E+05                            0.392921E-04                            0.166808E+01                            0.149034E-12                            0.646927E-01                            0.000000E+00
                                0.199005                                0.700000                            0.273478E+05                            0.392921E-04                            0.166808E+01                            0.149034E-12                            0.646927E-01                            0.000000E+00
                                0.299001                                0.700000                            0.273478E+05                            0.392921E-04                            0.166808E+01                            0.149034E-12                            0.646927E-01                            0.000000E+00
                                0.399005                                0.700000                            0.273478E+05                            0.392921E-04                            0.166808E+01                            0.149034E-12                            0.646927E-01                            0.000000E+00
                                0.499002                                0.700000                            0.273478E+05                            0.392921E-04                            0.166808E+01                            0.149034E-12                            0.646927E-01                            0.000000E+00
                                0.599005                                0.700000                            0.273478E+05                            0.392921E-04                            0.166808E+01                            0.149034E-12                            0.646927E-01                            0.000000E+00
                                0.699002                                0.700000                            0.273478E+05                            0.392921E-04                            0.166808E+01                            0.149034E-12                            0.646927E-01                            0.000000E+00
                                0.799006                                0.700000                            0.273478E+05                            0.392921E-04                            0.166808E+01                            0.149034E-12                            0.646927E-01                            0.000000E+00
                                0.899003                                0.700000                            0.273478E+05                            0.392921E-04                            0.166808E+01                            0.149034E-12                            0.646927E-01                            0.000000E+00
                                0.999006                                0.700000                            0.273478E+05                            0.392921E-04                            0.166808E+01                            0.149034E-12                            0.646927E-01                            0.000000E+00
