 #Time, [s], Average Radius [nm], Total precipitate density [/micron^3], Volume fraction [], Critical radius [nm], Nucleation rate [/micron^3/s], Concentration in the matrix [at %]
                                0.000000                             1257.499822                            0.133040E-01                            0.125000E+00****************************************                            0.000000E+00                            0.674857E-01                            0.000000E+00
                                0.001000                             1257.499568                            0.133040E-01                            0.125000E+00                           -0.143707E+00                            0.110313E+13                            0.674857E-01                            0.000000E+00
                                5.307805                             1256.153973                            0.133040E-01                            0.124660E+00                           -0.144509E+00                            0.110444E+13                            0.675566E-01                            0.000000E+00
                               10.157362                             1254.929403                            0.133040E-01                            0.124352E+00                           -0.145317E+00                            0.110574E+13                            0.676209E-01                            0.000000E+00
                               15.031323                             1253.703535                            0.133040E-01                            0.124043E+00                           -0.146133E+00                            0.110702E+13                            0.676850E-01                            0.000000E+00
                               20.421108                             1252.353575                            0.133040E-01                            0.123705E+00                           -0.147038E+00                            0.110841E+13                            0.677555E-01                            0.000000E+00
                               25.346979                             1251.124966                            0.133040E-01                            0.123397E+00                           -0.147868E+00                            0.110966E+13                            0.678194E-01                            0.000000E+00
                               30.297890                             1249.895045                            0.133040E-01                            0.123090E+00                           -0.148705E+00                            0.111089E+13                            0.678832E-01                            0.000000E+00
                               35.274051                             1248.663807                            0.133040E-01                            0.122783E+00                           -0.149550E+00                            0.111210E+13                            0.679469E-01                            0.000000E+00
                               40.275676                             1247.431249                            0.133040E-01                            0.122477E+00                           -0.150402E+00                            0.111329E+13                            0.680105E-01                            0.000000E+00
                               45.302980                             1246.197365                            0.133040E-01                            0.122171E+00                           -0.151261E+00                            0.111447E+13                            0.680740E-01                            0.000000E+00
                               50.356180                             1244.962151                            0.133040E-01                            0.121865E+00                           -0.152127E+00                            0.111564E+13                            0.681373E-01                            0.000000E+00
                               55.435499                             1243.725601                            0.133040E-01                            0.121559E+00                           -0.153002E+00                            0.111678E+13                            0.682006E-01                            0.000000E+00
                               60.029402                             1242.611562                            0.133040E-01                            0.121285E+00                           -0.153795E+00                            0.111779E+13                            0.682574E-01                            0.000000E+00
                               65.158964                             1241.372463                            0.133040E-01                            0.120980E+00                           -0.154684E+00                            0.111890E+13                            0.683204E-01                            0.000000E+00
                               70.315301                             1240.132016                            0.133040E-01                            0.120675E+00                           -0.155581E+00                            0.111999E+13                            0.683834E-01                            0.000000E+00
                               75.498644                             1238.890216                            0.133040E-01                            0.120371E+00                           -0.156485E+00                            0.112107E+13                            0.684462E-01                            0.000000E+00
                               80.186937                             1237.771434                            0.133040E-01                            0.120098E+00                           -0.157307E+00                            0.112201E+13                            0.685026E-01                            0.000000E+00
                               85.422243                             1236.527049                            0.133040E-01                            0.119794E+00                           -0.158227E+00                            0.112305E+13                            0.685652E-01                            0.000000E+00
                               90.157690                             1235.405934                            0.133040E-01                            0.119521E+00                           -0.159062E+00                            0.112396E+13                            0.686214E-01                            0.000000E+00
                               95.445825                             1234.158947                            0.133040E-01                            0.119218E+00                           -0.159998E+00                            0.112496E+13                            0.686838E-01                            0.000000E+00
                              100.229218                             1233.035481                            0.133040E-01                            0.118946E+00                           -0.160848E+00                            0.112584E+13                            0.687398E-01                            0.000000E+00
                              105.035603                             1231.910897                            0.133040E-01                            0.118674E+00                           -0.161705E+00                            0.112670E+13                            0.687957E-01                            0.000000E+00
                              110.403221                             1230.660043                            0.133040E-01                            0.118372E+00                           -0.162665E+00                            0.112764E+13                            0.688578E-01                            0.000000E+00
                              115.258753                             1229.533085                            0.133040E-01                            0.118101E+00                           -0.163536E+00                            0.112847E+13                            0.689135E-01                            0.000000E+00
                              120.137856                             1228.404997                            0.133040E-01                            0.117830E+00                           -0.164415E+00                            0.112928E+13                            0.689692E-01                            0.000000E+00
                              125.040722                             1227.275775                            0.133040E-01                            0.117559E+00                           -0.165301E+00                            0.113007E+13                            0.690248E-01                            0.000000E+00
                              130.516455                             1226.019749                            0.133040E-01                            0.117258E+00                           -0.166295E+00                            0.113093E+13                            0.690864E-01                            0.000000E+00
                              135.470122                             1224.888121                            0.133040E-01                            0.116988E+00                           -0.167196E+00                            0.113168E+13                            0.691418E-01                            0.000000E+00
                              140.448160                             1223.755348                            0.133040E-01                            0.116718E+00                           -0.168106E+00                            0.113242E+13                            0.691971E-01                            0.000000E+00
                              145.450768                             1222.621425                            0.133040E-01                            0.116448E+00                           -0.169023E+00                            0.113313E+13                            0.692523E-01                            0.000000E+00
                              150.478149                             1221.486348                            0.133040E-01                            0.116179E+00                           -0.169948E+00                            0.113383E+13                            0.693074E-01                            0.000000E+00
                              155.530509                             1220.350115                            0.133040E-01                            0.115910E+00                           -0.170881E+00                            0.113450E+13                            0.693624E-01                            0.000000E+00
                              160.042632                             1219.339155                            0.133040E-01                            0.115671E+00                           -0.171717E+00                            0.113509E+13                            0.694112E-01                            0.000000E+00
                              165.142740                             1218.200726                            0.133040E-01                            0.115402E+00                           -0.172665E+00                            0.113573E+13                            0.694660E-01                            0.000000E+00
                              170.268433                             1217.061128                            0.133040E-01                            0.115134E+00                           -0.173621E+00                            0.113635E+13                            0.695208E-01                            0.000000E+00
                              175.419924                             1215.920358                            0.133040E-01                            0.114866E+00                           -0.174585E+00                            0.113694E+13                            0.695754E-01                            0.000000E+00
                              180.020862                             1214.905352                            0.133040E-01                            0.114627E+00                           -0.175449E+00                            0.113746E+13                            0.696239E-01                            0.000000E+00
                              185.221681                             1213.762356                            0.133040E-01                            0.114360E+00                           -0.176430E+00                            0.113801E+13                            0.696784E-01                            0.000000E+00
                              190.448935                             1212.618176                            0.133040E-01                            0.114093E+00                           -0.177419E+00                            0.113855E+13                            0.697328E-01                            0.000000E+00
                              195.117757                             1211.600130                            0.133040E-01                            0.113855E+00                           -0.178305E+00                            0.113901E+13                            0.697811E-01                            0.000000E+00
                              200.395559                             1210.453703                            0.133040E-01                            0.113589E+00                           -0.179310E+00                            0.113950E+13                            0.698353E-01                            0.000000E+00
                              205.109677                             1209.433653                            0.133040E-01                            0.113352E+00                           -0.180211E+00                            0.113992E+13                            0.698834E-01                            0.000000E+00
                              210.438851                             1208.284963                            0.133040E-01                            0.113086E+00                           -0.181234E+00                            0.114037E+13                            0.699375E-01                            0.000000E+00
                              215.199005                             1207.262895                            0.133040E-01                            0.112849E+00                           -0.182150E+00                            0.114075E+13                            0.699855E-01                            0.000000E+00
                              220.580394                             1206.111928                            0.133040E-01                            0.112584E+00                           -0.183190E+00                            0.114116E+13                            0.700393E-01                            0.000000E+00
                              225.387341                             1205.087830                            0.133040E-01                            0.112348E+00                           -0.184122E+00                            0.114150E+13                            0.700872E-01                            0.000000E+00
                              230.216577                             1204.062770                            0.133040E-01                            0.112112E+00                           -0.185061E+00                            0.114182E+13                            0.701349E-01                            0.000000E+00
                              235.068274                             1203.036748                            0.133040E-01                            0.111877E+00                           -0.186008E+00                            0.114212E+13                            0.701826E-01                            0.000000E+00
                              240.553501                             1201.881317                            0.133040E-01                            0.111612E+00                           -0.187082E+00                            0.114244E+13                            0.702361E-01                            0.000000E+00
                              245.453515                             1200.853238                            0.133040E-01                            0.111377E+00                           -0.188046E+00                            0.114270E+13                            0.702836E-01                            0.000000E+00
                              250.376547                             1199.824185                            0.133040E-01                            0.111143E+00                           -0.189017E+00                            0.114294E+13                            0.703311E-01                            0.000000E+00
                              255.322779                             1198.794157                            0.133040E-01                            0.110908E+00                           -0.189996E+00                            0.114316E+13                            0.703785E-01                            0.000000E+00
                              260.292395                             1197.763150                            0.133040E-01                            0.110674E+00                           -0.190983E+00                            0.114335E+13                            0.704258E-01                            0.000000E+00
                              265.285581                             1196.731160                            0.133040E-01                            0.110440E+00                           -0.191978E+00                            0.114353E+13                            0.704730E-01                            0.000000E+00
                              270.302525                             1195.698186                            0.133040E-01                            0.110206E+00                           -0.192982E+00                            0.114368E+13                            0.705202E-01                            0.000000E+00
                              275.343420                             1194.664223                            0.133040E-01                            0.109973E+00                           -0.193993E+00                            0.114381E+13                            0.705673E-01                            0.000000E+00
                              280.408456                             1193.629268                            0.133040E-01                            0.109740E+00                           -0.195014E+00                            0.114392E+13                            0.706143E-01                            0.000000E+00
                              285.497830                             1192.593320                            0.133040E-01                            0.109507E+00                           -0.196042E+00                            0.114401E+13                            0.706612E-01                            0.000000E+00
                              290.611739                             1191.556373                            0.133040E-01                            0.109274E+00                           -0.197080E+00                            0.114407E+13                            0.707081E-01                            0.000000E+00
                              295.106693                             1190.648224                            0.133040E-01                            0.109070E+00                           -0.197995E+00                            0.114411E+13                            0.707491E-01                            0.000000E+00
                              300.267146                             1189.609399                            0.133040E-01                            0.108838E+00                           -0.199048E+00                            0.114413E+13                            0.707958E-01                            0.000000E+00
                              305.452715                             1188.569567                            0.133040E-01                            0.108606E+00                           -0.200111E+00                            0.114413E+13                            0.708425E-01                            0.000000E+00
                              310.010853                             1187.658886                            0.133040E-01                            0.108403E+00                           -0.201048E+00                            0.114410E+13                            0.708833E-01                            0.000000E+00
                              315.244073                             1186.617158                            0.133040E-01                            0.108171E+00                           -0.202128E+00                            0.114405E+13                            0.709298E-01                            0.000000E+00
                              320.503011                             1185.574414                            0.133040E-01                            0.107939E+00                           -0.203217E+00                            0.114398E+13                            0.709763E-01                            0.000000E+00
                              325.125845                             1184.661178                            0.133040E-01                            0.107737E+00                           -0.204178E+00                            0.114389E+13                            0.710169E-01                            0.000000E+00
                              330.433581                             1183.616522                            0.133040E-01                            0.107506E+00                           -0.205285E+00                            0.114377E+13                            0.710632E-01                            0.000000E+00
                              335.099449                             1182.701607                            0.133040E-01                            0.107304E+00                           -0.206261E+00                            0.114364E+13                            0.711037E-01                            0.000000E+00
                              340.456752                             1181.655028                            0.133040E-01                            0.107074E+00                           -0.207386E+00                            0.114347E+13                            0.711499E-01                            0.000000E+00
                              345.166334                             1180.738425                            0.133040E-01                            0.106872E+00                           -0.208378E+00                            0.114330E+13                            0.711903E-01                            0.000000E+00
                              350.573993                             1179.689911                            0.133040E-01                            0.106642E+00                           -0.209522E+00                            0.114307E+13                            0.712363E-01                            0.000000E+00
                              355.327985                             1178.771612                            0.133040E-01                            0.106441E+00                           -0.210530E+00                            0.114286E+13                            0.712766E-01                            0.000000E+00
                              360.102946                             1177.852517                            0.133040E-01                            0.106240E+00                           -0.211547E+00                            0.114262E+13                            0.713168E-01                            0.000000E+00
                              365.585922                             1176.801147                            0.133040E-01                            0.106010E+00                           -0.212718E+00                            0.114232E+13                            0.713626E-01                            0.000000E+00
                              370.406345                             1175.880342                            0.133040E-01                            0.105809E+00                           -0.213752E+00                            0.114203E+13                            0.714027E-01                            0.000000E+00
                              375.248236                             1174.958736                            0.133040E-01                            0.105609E+00                           -0.214793E+00                            0.114172E+13                            0.714427E-01                            0.000000E+00
                              380.111756                             1174.036327                            0.133040E-01                            0.105409E+00                           -0.215843E+00                            0.114139E+13                            0.714827E-01                            0.000000E+00
                              385.696762                             1172.981159                            0.133040E-01                            0.105180E+00                           -0.217053E+00                            0.114098E+13                            0.715283E-01                            0.000000E+00
                              390.607187                             1172.057023                            0.133040E-01                            0.104980E+00                           -0.218120E+00                            0.114060E+13                            0.715682E-01                            0.000000E+00
                              395.539764                             1171.132078                            0.133040E-01                            0.104781E+00                           -0.219197E+00                            0.114020E+13                            0.716080E-01                            0.000000E+00
                              400.494663                             1170.206322                            0.133040E-01                            0.104581E+00                           -0.220281E+00                            0.113977E+13                            0.716477E-01                            0.000000E+00
                              405.472056                             1169.279754                            0.133040E-01                            0.104382E+00                           -0.221374E+00                            0.113932E+13                            0.716874E-01                            0.000000E+00
                              410.472116                             1168.352372                            0.133040E-01                            0.104183E+00                           -0.222477E+00                            0.113884E+13                            0.717270E-01                            0.000000E+00
